MSSubClass,MSZoning,LotArea,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,YrSold,SaleType,SaleCondition,GarageYrBlt_2,MoSold_2,ln_y
60,RL,8450,Reg,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,5,2003,2003,Gable,VinylSd,VinylSd,No_Fence,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,Ex,856,854,0,1710,1,0,2,1,3,1,Gd,8,0,No_FirePlace,Attchd,RFn,2,548,TA,0,61,0,0,0,0,No_Fence,0,2008,WD,Normal,2000_plus,Janvier_Mars,12.247694320220994
20,RL,9600,Reg,Lvl,FR2,Veenker,Feedr,1Fam,1Story,6,8,1976,1976,Gable,MetalSd,MetalSd,No_Fence,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,Ex,1262,0,0,1262,0,1,2,0,3,1,TA,6,1,TA,Attchd,RFn,2,460,TA,298,0,0,0,0,0,No_Fence,0,2007,WD,Normal,1950_1980,Avril_Juin,12.109010932687042
60,RL,11250,IR1,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,5,2001,2002,Gable,VinylSd,VinylSd,No_Fence,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,Ex,920,866,0,1786,1,0,2,1,3,1,Gd,6,1,TA,Attchd,RFn,2,608,TA,0,42,0,0,0,0,No_Fence,0,2008,WD,Normal,2000_plus,Juillet_Septembre,12.31716669303576
70,RL,9550,IR1,Lvl,Corner,Crawfor,Norm,1Fam,2Story,7,5,1915,1970,Gable,Wd Sdng,Wd Shng,No_Fence,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,756,Gd,961,756,0,1717,1,0,1,0,3,1,Gd,7,1,Gd,Detchd,Unf,3,642,TA,0,35,272,0,0,0,No_Fence,0,2006,WD,Abnorml,1980_200,Janvier_Mars,11.84939770159144
60,RL,14260,IR1,Lvl,FR2,NoRidge,Norm,1Fam,2Story,8,5,2000,2000,Gable,VinylSd,VinylSd,No_Fence,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,1145,Ex,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,1,TA,Attchd,RFn,3,836,TA,192,84,0,0,0,0,No_Fence,0,2008,WD,Normal,2000_plus,Octobre_Decembre,12.429216196844383
50,RL,14115,IR1,Lvl,Inside,Mitchel,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,VinylSd,VinylSd,MnPrv,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,796,Ex,796,566,0,1362,1,0,1,1,1,1,TA,5,0,No_FirePlace,Attchd,Unf,2,480,TA,40,30,0,320,0,0,MnPrv,700,2009,WD,Normal,1980_200,Octobre_Decembre,11.870599909242044
20,RL,10084,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,8,5,2004,2005,Gable,VinylSd,VinylSd,No_Fence,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,Ex,1694,0,0,1694,1,0,2,0,3,1,Gd,7,1,Gd,Attchd,RFn,2,636,TA,255,57,0,0,0,0,No_Fence,0,2007,WD,Normal,2000_plus,Juillet_Septembre,12.634603026569334
60,RL,10382,IR1,Lvl,Corner,NWAmes,PosN,1Fam,2Story,7,6,1973,1973,Gable,HdBoard,HdBoard,No_Fence,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,Ex,1107,983,0,2090,1,0,2,1,3,1,TA,7,2,TA,Attchd,RFn,2,484,TA,235,204,228,0,0,0,No_Fence,350,2009,WD,Normal,1950_1980,Octobre_Decembre,12.206072645530174
50,RM,6120,Reg,Lvl,Inside,OldTown,Artery,1Fam,1.5Fin,7,5,1931,1950,Gable,BrkFace,Wd Shng,No_Fence,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,Gd,1022,752,0,1774,0,0,2,0,2,2,TA,8,2,TA,Detchd,Unf,2,468,Fa,90,0,205,0,0,0,No_Fence,0,2008,WD,Abnorml,1900_1950,Avril_Juin,11.77452020265869
190,RL,7420,Reg,Lvl,Corner,BrkSide,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,MetalSd,MetalSd,No_Fence,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,991,Ex,1077,0,0,1077,1,0,1,0,2,2,TA,5,2,TA,Attchd,RFn,1,205,Gd,0,4,0,0,0,0,No_Fence,0,2008,WD,Normal,1900_1950,Janvier_Mars,11.678439903447801
20,RL,11200,Reg,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,HdBoard,No_Fence,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,Ex,1040,0,0,1040,1,0,1,0,3,1,TA,5,0,No_FirePlace,Detchd,Unf,1,384,TA,0,0,0,0,0,0,No_Fence,0,2008,WD,Normal,1950_1980,Janvier_Mars,11.771436160121729
60,RL,11924,IR1,Lvl,Inside,NridgHt,Norm,1Fam,2Story,9,5,2005,2006,Hip,WdShing,Wd Shng,No_Fence,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,Ex,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,2,Gd,BuiltIn,Fin,3,736,TA,147,21,0,0,0,0,No_Fence,0,2006,New,Partial,2000_plus,Juillet_Septembre,12.751299696013497
20,RL,12968,IR2,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,6,1962,1962,Hip,HdBoard,Plywood,No_Fence,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,TA,912,0,0,912,1,0,1,0,2,1,TA,4,0,No_FirePlace,Detchd,Unf,1,352,TA,140,0,0,0,176,0,No_Fence,0,2008,WD,Normal,1950_1980,Juillet_Septembre,11.877568578558138
20,RL,10652,IR1,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,5,2006,2007,Gable,VinylSd,VinylSd,No_Fence,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,Ex,1494,0,0,1494,0,0,2,0,3,1,Gd,7,1,Gd,Attchd,RFn,3,840,TA,160,33,0,0,0,0,No_Fence,0,2007,New,Partial,2000_plus,Juillet_Septembre,12.540757571577291
20,RL,10920,IR1,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,5,1960,1960,Hip,MetalSd,MetalSd,GdWo,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,TA,1253,0,0,1253,1,0,1,1,2,1,TA,5,1,Fa,Attchd,RFn,1,352,TA,0,213,176,0,0,0,GdWo,0,2008,WD,Normal,1950_1980,Avril_Juin,11.964001084330445
45,RM,6120,Reg,Lvl,Corner,BrkSide,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,Wd Sdng,Wd Sdng,GdPrv,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,Ex,854,0,0,854,0,0,1,0,2,1,TA,5,0,No_FirePlace,Detchd,Unf,2,576,TA,48,112,0,0,0,0,GdPrv,0,2007,WD,Normal,1980_200,Juillet_Septembre,11.790557201568507
20,RL,11241,IR1,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,6,7,1970,1970,Gable,Wd Sdng,Wd Sdng,No_Fence,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,Ex,1004,0,0,1004,1,0,1,0,2,1,TA,5,1,TA,Attchd,Fin,2,480,TA,0,0,0,0,0,0,No_Fence,700,2010,WD,Normal,1950_1980,Janvier_Mars,11.911701584927597
90,RL,10791,Reg,Lvl,Inside,Sawyer,Norm,Duplex,1Story,4,5,1967,1967,Gable,MetalSd,MetalSd,No_Fence,0.0,TA,TA,Slab,No_Basement,No_Basement,No_Basement,No_Basement,0,No_Basement,0,0,0,TA,1296,0,0,1296,0,0,2,0,2,2,TA,6,0,No_FirePlace,CarPort,Unf,2,516,TA,0,0,0,0,0,0,No_Fence,500,2006,WD,Normal,1950_1980,Octobre_Decembre,11.407564949312402
20,RL,13695,Reg,Lvl,Inside,SawyerW,RRAe,1Fam,1Story,5,5,2004,2004,Gable,VinylSd,VinylSd,No_Fence,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,Ex,1114,0,0,1114,1,0,1,1,3,1,Gd,6,0,No_FirePlace,Detchd,Unf,2,576,TA,0,102,0,0,0,0,No_Fence,0,2008,WD,Normal,2000_plus,Avril_Juin,11.976659481202368
20,RL,7560,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,6,1958,1965,Hip,BrkFace,Plywood,MnPrv,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,TA,1339,0,0,1339,0,0,1,0,3,1,TA,6,0,No_FirePlace,Attchd,Unf,1,294,TA,0,0,0,0,0,0,MnPrv,0,2009,COD,Abnorml,1950_1980,Avril_Juin,11.842229212112828
60,RL,14215,IR1,Lvl,Corner,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,Gable,VinylSd,VinylSd,No_Fence,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,Ex,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,1,Gd,BuiltIn,RFn,3,853,TA,240,154,0,0,0,0,No_Fence,0,2006,New,Partial,2000_plus,Octobre_Decembre,12.692503112461443
45,RM,7449,Reg,Bnk,Inside,IDOTRR,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,Wd Sdng,Wd Sdng,GdPrv,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,637,Ex,1108,0,0,1108,0,0,1,0,3,1,Gd,6,1,Gd,Attchd,Unf,1,280,TA,0,0,205,0,0,0,GdPrv,0,2007,WD,Normal,1900_1950,Avril_Juin,11.845102777308561
20,RL,9742,Reg,Lvl,Inside,CollgCr,Norm,1Fam,1Story,8,5,2002,2002,Hip,VinylSd,VinylSd,No_Fence,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,Ex,1795,0,0,1795,0,0,2,0,3,1,Gd,7,1,Gd,Attchd,RFn,2,534,TA,171,159,0,0,0,0,No_Fence,0,2008,WD,Normal,2000_plus,Juillet_Septembre,12.345834587905333
120,RM,4224,Reg,Lvl,Inside,MeadowV,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CemntBd,CmentBd,No_Fence,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,TA,1060,0,0,1060,1,0,1,0,3,1,TA,6,1,TA,Attchd,Unf,2,572,TA,100,110,0,0,0,0,No_Fence,0,2007,WD,Normal,1950_1980,Avril_Juin,11.77452020265869
